cohort,event,mw_catalog,n_stations,new3_mw_200s,new3_error,old_mw_200s,old_error,crowell_mw_200s,crowell_error,mechanism,strike,dip,rake,depth_km
train,nc73821036,6.400000095367432,9,6.219672203063965,-0.1803278923034668,6.3154120445251465,-0.0845880508422851,6.364094366465495,-0.0359056335345053,Strike slip,253.0,83.0,27.0,17.91
train,2013p543824,6.5,8,6.405796766281128,-0.094203233718872,6.446044445037842,-0.0539555549621582,6.437880763681537,-0.0621192363184626,Strike slip,231.0,63.0,159.0,15.6
train,Lefkada2015,6.5,3,6.428606986999512,-0.0713930130004882,6.365884304046631,-0.1341156959533691,6.566236472787853,0.0662364727878532,Strike slip,22.0,64.0,179.0,11.0
train,2013p613797,6.5,10,6.387401580810547,-0.1125984191894531,6.479269981384277,-0.0207300186157226,6.684090721018251,0.1840907210182507,Reverse,329.0,79.0,31.0,7.5
train,Eureka2014,6.800000190734863,15,6.590280055999756,-0.2097201347351074,6.689624786376953,-0.1103754043579101,6.961736667034836,0.1617366670348365,Strike slip,230.0,86.0,-2.0,16.6
train,Kilauea2018,6.900000095367432,15,6.880027770996094,-0.0199723243713378,6.803214073181152,-0.0967860221862793,6.767399407666974,-0.1326005923330262,Reverse,238.0,19.0,106.0,2.1
train,Aegean2014,6.900000095367432,4,6.85983419418335,-0.040165901184082,6.73378324508667,-0.1662168502807617,6.775059008240921,-0.1249409917590789,Strike slip,73.0,85.0,-177.0,10.0
train,Kumamoto2016,7.0,161,6.962225914001465,-0.0377740859985351,6.937602043151856,-0.0623979568481445,7.106801992844433,0.1068019928444332,Strike slip,128.0,71.0,-14.0,10.0
train,Miyagi2011B,7.099999904632568,46,7.061801433563232,-0.0381984710693359,7.053330898284912,-0.0466690063476562,7.279292562618269,0.1792925626182695,Reverse,19.0,37.0,83.0,42.0
train,2021p169083,7.199999809265137,10,7.040582895278931,-0.159416913986206,7.103799819946289,-0.0961999893188476,7.232270720291178,0.0322707202911782,Reverse,273.0,44.0,100.0,33.0
train,ElMayor2010,7.199999809265137,84,7.0414347648620605,-0.1585650444030761,7.0471014976501465,-0.1528983116149902,7.39594873042552,0.1959487304255196,Strike slip,223.0,84.0,-2.0,6.0
train,Miyagi2011A,7.300000190734863,84,7.143007516860962,-0.1569926738739013,7.207020044326782,-0.092980146408081,7.402369815203071,0.1023698152030716,Reverse,189.0,12.0,78.0,32.0
train,us6000ah9t,7.400000095367432,5,7.333840847015381,-0.0661592483520507,7.284481048583984,-0.1155190467834472,7.089506774544688,-0.3104932254553123,Reverse,264.0,23.0,55.0,20.0
train,Nicoya2012,7.599999904632568,9,7.551723480224609,-0.0482764244079589,7.47192907333374,-0.1280708312988281,7.314968859574739,-0.2850311404252608,Reverse,308.0,17.0,102.0,35.0
train,Melinka2016,7.599999904632568,5,7.435503959655762,-0.1644959449768066,7.596117973327637,-0.0038819313049316,7.315447459042442,-0.2845525409575575,Reverse,4.0,19.0,96.0,38.0
train,Kaikoura2016,7.800000190734863,32,7.651130199432373,-0.1488699913024902,7.661561489105225,-0.1384387016296386,8.039701685097718,0.2397016850977182,Reverse,226.0,33.0,141.0,15.2
train,Simeonof2020,7.800000190734863,19,7.677557945251465,-0.1224422454833984,7.683963775634766,-0.1160364151000976,7.755641184711855,-0.0443588152881444,Reverse,243.0,17.0,92.0,28.0
train,Nepal2015,7.800000190734863,6,7.751380443572998,-0.0486197471618652,7.766775131225586,-0.0332250595092773,8.22231135409536,0.4223113540953607,Reverse,287.0,6.0,96.0,15.0
train,Mentawai2010,7.800000190734863,9,7.814759731292725,0.0147595405578613,7.745821952819824,-0.054178237915039,7.297858242854924,-0.5021417571450755,Reverse,316.0,8.0,96.0,20.1
train,Ibaraki2011,7.900000095367432,507,7.770861625671387,-0.1291384696960449,7.788817405700684,-0.111182689666748,7.629287715658639,-0.2707122843413616,Reverse,199.0,17.0,84.0,30.2
train,Tehuantepec2017,8.199999809265137,4,8.0404691696167,-0.1595306396484375,8.113723278045654,-0.0862765312194824,8.410938332531217,0.2109383325312173,Normal,150.0,12.0,-78.0,47.4
train,Chignic2021,8.199999809265137,41,7.9675445556640625,-0.2324552536010742,8.054739952087402,-0.1452598571777343,8.120845417016316,-0.0791545829836835,Reverse,238.0,10.0,88.0,30.0
train,Illapel2015,8.300000190734863,24,8.157583236694336,-0.1424169540405273,8.146490097045898,-0.1535100936889648,8.060508148009154,-0.2394918519908468,Reverse,7.0,19.0,109.0,22.4
train,Tohoku2011,9.100000381469728,688,9.033692359924316,-0.0663080215454101,9.086083889007568,-0.0139164924621582,8.819729042904125,-0.2802709570958743,Reverse,203.0,10.0,88.0,24.4
validation,Parkfield2004,5.96999979019165,11,6.026210784912109,0.0562109947204589,6.184012413024902,0.2140126228332519,5.960501126882969,-0.0094988731170309,Strike slip,321.0,72.0,-178.0,8.8
validation,Anchorage2018,7.099999904632568,8,7.1065521240234375,0.0065522193908691,7.12100887298584,0.0210089683532714,6.885709919354133,-0.2142900806458669,Normal,7.0,26.0,-91.0,46.7
validation,Noto2024,7.5,397,7.88678503036499,0.3867850303649902,7.837416648864746,0.3374166488647461,7.487456500877618,-0.0125434991223816,Reverse,35.0,38.0,86.0,10.0
validation,SandPoint2020,7.599999904632568,9,7.608539581298828,0.0085396766662597,7.525846004486084,-0.0741539001464843,7.324481902719091,-0.2755180972809086,Strike slip,350.0,49.0,176.0,29.1
